n_components,accuracy,precision,recall,f1,ari,nmi
1,0.535031847133758,0.4846153846153846,0.44366197183098594,0.4632352941176471,0.003621776399771433,0.002187155890147174
2,0.535031847133758,0.48484848484848486,0.4507042253521127,0.46715328467153283,0.0036557667788679007,0.0022742946940789797
3,0.505307855626327,0.45652173913043476,0.49295774647887325,0.47404063205417607,-0.0009457099201217963,5.138315500386926e-05
4,0.5074309978768577,0.4610655737704918,0.528169014084507,0.49234135667396056,-0.0008435367602212318,0.00024535286067760157
5,0.5488322717622081,0.5010660980810234,0.5516431924882629,0.5251396648044693,0.008494164272495535,0.006920315818467501
6,0.5467091295116773,0.49894736842105264,0.5563380281690141,0.5260821309655938,0.007681483006234225,0.006496795546758863
7,0.529723991507431,0.4806378132118451,0.4953051643192488,0.4878612716763006,0.0024464569386262337,0.002061373439233217
8,0.5265392781316348,0.47835497835497837,0.5187793427230047,0.4977477477477478,0.001763247809559743,0.0019202570549453053
9,0.5,0.4528301886792453,0.5070422535211268,0.47840531561461797,-0.001055421933045166,1.0821869516459492e-06
10,0.5477707006369427,0.5,0.5469483568075117,0.5224215246636771,0.008082769074057305,0.006536782050192094
11,0.5,0.4528301886792453,0.5070422535211268,0.47840531561461797,-0.001055421933045166,1.0821869516459492e-06
12,0.5095541401273885,0.45982142857142855,0.4835680751173709,0.47139588100686497,-0.0007078873826159853,0.0001528450007813134
13,0.5392781316348195,0.49245283018867925,0.6126760563380281,0.5460251046025105,0.004997272335249019,0.006134252134709683
14,0.5095541401273885,0.46296296296296297,0.528169014084507,0.49342105263157887,-0.0006968019824983495,0.00035894264836149997
15,0.5116772823779193,0.4711864406779661,0.6525821596244131,0.547244094488189,-0.0010246400483122304,0.0018058759802688804
16,0.5435244161358811,0.4957081545064378,0.5422535211267606,0.5179372197309416,0.006530472938022966,0.00541358897966967
17,0.5265392781316348,0.48098859315589354,0.5938967136150235,0.5315126050420169,0.001656148630686196,0.003075988377623589
18,0.5488322717622081,0.5009784735812133,0.6009389671361502,0.5464247598719317,0.008436498197963648,0.00827997638558667
19,0.529723991507431,0.48210526315789476,0.5375586854460094,0.5083240843507215,0.002483097650845224,0.0026543457543080477
20,0.6050955414012739,0.5564853556485355,0.6244131455399061,0.5884955752212389,0.043171044947453496,0.03299152502687625
