n_components,accuracy,precision,recall,f1,ari,nmi
1,0.5233545647558386,0.46900269541778977,0.4084507042253521,0.43663739021329984,0.0007658225064670066,0.000542670724770686
2,0.5212314225053079,0.4692874692874693,0.44835680751173707,0.45858343337334934,0.0006017206282250675,0.0006508657113311801
3,0.5254777070063694,0.4716981132075472,0.4107981220657277,0.4391468005018821,0.0011811224261867581,0.0007310437081887523
4,0.5254777070063694,0.4715447154471545,0.4084507042253521,0.4377358490566038,0.0011664128659041827,0.0007136697991176292
5,0.524416135881104,0.47058823529411764,0.4131455399061033,0.44,0.0009904803203198225,0.0006581640862684475
6,0.524416135881104,0.47058823529411764,0.4131455399061033,0.44,0.0009904803203198225,0.0006581640862684475
7,0.5222929936305732,0.4673913043478261,0.40375586854460094,0.4332493702770781,0.0005495276709413289,0.00043798951576667916
8,0.5222929936305732,0.4673913043478261,0.40375586854460094,0.4332493702770781,0.0005495276709413289,0.00043798951576667916
9,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
10,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
11,0.5222929936305732,0.4673913043478261,0.40375586854460094,0.4332493702770781,0.0005495276709413289,0.00043798951576667916
12,0.5222929936305732,0.4673913043478261,0.40375586854460094,0.4332493702770781,0.0005495276709413289,0.00043798951576667916
13,0.5212314225053079,0.46612466124661245,0.40375586854460094,0.4327044025157233,0.00037191436259095714,0.00036939833449736693
14,0.5212314225053079,0.46612466124661245,0.40375586854460094,0.4327044025157233,0.00037191436259095714,0.00036939833449736693
15,0.5212314225053079,0.46612466124661245,0.40375586854460094,0.4327044025157233,0.00037191436259095714,0.00036939833449736693
16,0.5212314225053079,0.4659400544959128,0.4014084507042254,0.4312736443883985,0.00035690114525577417,0.0003567010409823061
17,0.5222929936305732,0.4672131147540984,0.4014084507042254,0.43181818181818177,0.0005343712721792871,0.0004242486413502589
18,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
19,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
20,0.5212314225053079,0.4659400544959128,0.4014084507042254,0.4312736443883985,0.00035690114525577417,0.0003567010409823061
21,0.5233545647558386,0.46866485013623976,0.40375586854460094,0.43379571248423704,0.0007360993077631622,0.0005125238984638315
22,0.5233545647558386,0.46866485013623976,0.40375586854460094,0.43379571248423704,0.0007360993077631622,0.0005125238984638315
23,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
24,0.5254777070063694,0.4718498659517426,0.4131455399061033,0.4405506883604506,0.001195540287590093,0.0007486205552062129
25,0.5276008492569002,0.4745308310991957,0.4154929577464789,0.4430538172715895,0.0016469467277014573,0.0009671250238618747
26,0.5233545647558386,0.4684931506849315,0.4014084507042254,0.43236409608091025,0.0007207999132326731,0.0004977557792229241
27,0.5254777070063694,0.4718498659517426,0.4131455399061033,0.4405506883604506,0.001195540287590093,0.0007486205552062129
28,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
29,0.5254777070063694,0.472,0.4154929577464789,0.4419475655430712,0.0012096664753591389,0.0007664015107011548
30,0.5233545647558386,0.46883468834688347,0.4061032863849765,0.4352201257861635,0.0007511068300813603,0.0005274953183512752
