n_components,accuracy,precision,recall,f1,ari,nmi
1,0.5116772823779193,0.4678030303030303,0.57981220657277,0.5178197064989518,-0.0006265627140317652,0.0009092699264963852
2,0.5445859872611465,0.4965197215777262,0.5023474178403756,0.49941656942823803,0.006848010986065517,0.004847979335306862
3,0.5031847133757962,0.4576612903225806,0.5328638497652582,0.4924078091106291,-0.0010362943811432586,9.597841433702223e-05
4,0.5116772823779193,0.46443514644351463,0.5211267605633803,0.49115044247787615,-0.0005098845229702469,0.00044850679290366004
5,0.5403397027600849,0.4923747276688453,0.5305164319248826,0.5107344632768361,0.0054567005122272225,0.004479353046017828
6,0.5169851380042463,0.46756152125279643,0.49061032863849763,0.4788087056128293,8.010012414843289e-05,0.000620760770144611
7,0.5042462845010616,0.46095238095238095,0.568075117370892,0.5089379600420609,-0.0010882808608471395,0.0002813303212472148
8,0.5116772823779193,0.4678030303030303,0.57981220657277,0.5178197064989518,-0.0006265627140317652,0.0009092699264963852
9,0.5212314225053079,0.47433264887063653,0.5422535211267606,0.5060240963855421,0.0007415636433524875,0.0015292653485914928
10,0.5339702760084926,0.48596112311015116,0.528169014084507,0.5061867266591676,0.0035643517593463704,0.003215605623231424
11,0.5382165605095541,0.4900662251655629,0.5211267605633803,0.5051194539249146,0.0047823215848981394,0.003879007007093217
12,0.5329087048832272,0.48523206751054854,0.539906103286385,0.5111111111111111,0.0032820621370115003,0.003225667025486927
13,0.5159235668789809,0.46835443037974683,0.5211267605633803,0.4933333333333333,-3.912765956202171e-05,0.0007695877962828136
14,0.5212314225053079,0.47401247401247404,0.5352112676056338,0.5027563395810364,0.0007472439386085241,0.001447378153594824
15,0.5424628450106157,0.49417249417249415,0.49765258215962443,0.495906432748538,0.0061019804701139425,0.004311341483214195
16,0.5222929936305732,0.47345132743362833,0.5023474178403756,0.4874715261958998,0.000922754636034335,0.0012145855945387566
17,0.5116772823779193,0.46304347826086956,0.5,0.48081264108352145,-0.0005125094830373133,0.0003261454824898072
18,0.5106157112526539,0.46548323471400394,0.5539906103286385,0.5058949624866024,-0.0006501159727909121,0.000599702533677437
19,0.5254777070063694,0.4793713163064833,0.5727699530516432,0.5219251336898396,0.0014925429824767858,0.0025392022975093526
20,0.505307855626327,0.46078431372549017,0.5516431924882629,0.502136752136752,-0.0009967756490063902,0.0002531294005074987
21,0.5148619957537155,0.46750524109014674,0.5234741784037559,0.49390919158361024,-0.0001709737800938323,0.000699556768049254
22,0.5286624203821656,0.48155737704918034,0.5516431924882629,0.5142231947483588,0.002224985120626366,0.0027049699296000235
23,0.5084925690021231,0.4633663366336634,0.5492957746478874,0.5026852846401718,-0.0008074672667257894,0.00041969353676709454
24,0.5191082802547771,0.4716981132075472,0.528169014084507,0.4983388704318937,0.0004066250136703041,0.0011364160804326826
25,0.5074309978768577,0.46332046332046334,0.5633802816901409,0.5084745762711864,-0.0009135643667956365,0.0004408538612236676
26,0.5180467091295117,0.4717741935483871,0.5492957746478874,0.5075921908893709,0.00022723009876369859,0.0012431709874318859
27,0.5010615711252654,0.4531914893617021,0.5,0.47544642857142855,-0.0010496327357887069,2.6933929311549526e-06
28,0.5498938428874734,0.5022222222222222,0.5305164319248826,0.5159817351598173,0.008898043235915578,0.006690493689312656
29,0.5095541401273885,0.463855421686747,0.5422535211267606,0.5000000000000001,-0.000715180542951162,0.0004435883557907756
30,0.5106157112526539,0.46520874751491054,0.5492957746478874,0.503767491926803,-0.0006401977407278679,0.000565105111389316
